ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2018-03-26,07:00,20.56,20.56,20.56,20.56,1115,5
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2018-03-26,07:00,17.035,17.08,16.92,16.98,2892,11
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2018-03-26,07:00,24.02,24.18,23.94,24.12,5721,34
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2018-03-26,07:00,24.72,24.72,24.7,24.72,315,2
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2018-03-26,07:00,196.35,196.4,195.6,195.9,5616,27
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA","Common stock","EUR",2504492,2018-03-26,07:00,3.73,3.73,3.73,3.73,6400,5
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2018-03-26,07:00,39.42,39.49,39.42,39.45,2187,12
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.","Common stock","EUR",2504531,2018-03-26,07:00,14.44,14.44,14.37,14.4,1601,4
"DE000A111338","AM3D","SLM SOLUTIONS GRP AG","Common stock","EUR",2504550,2018-03-26,07:00,33.35,33.35,33.35,33.35,40,1
"DE000A2DAM03","AAG","AUMANN AG","Common stock","EUR",2504639,2018-03-26,07:00,55,55,55,55,7,1
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2018-03-26,07:00,81.48,81.49,81.3,81.39,5317,47
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2018-03-26,07:00,90.9,90.9,90.77,90.86,5323,34
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2018-03-26,07:00,11.09,11.09,11.04,11.058,23698,17
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2018-03-26,07:00,149.4,149.4,149.3,149.4,200,4
"DE000XNG8888","O1BC","XING SE  NA O.N.","Common stock","EUR",2504862,2018-03-26,07:00,240.5,240.5,240,240,42,3
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2018-03-26,07:00,52.82,52.82,52.82,52.82,76,2
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2018-03-26,07:00,11.39,11.39,11.358,11.37,24466,46
"DE0005158703","BC8","BECHTLE AG O.N.","Common stock","EUR",2504894,2018-03-26,07:00,66.4,66.45,66.4,66.4,280,4
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2018-03-26,07:00,84.82,84.84,84.59,84.7,3241,35
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2018-03-26,07:00,87.16,87.16,87.08,87.16,961,14
